item,filename,article_title,in_folder,notes
108,108 - WHY DOES OMNI-CHANNEL ALLOW RETAILERS TO FOSTER SUPPLY CHAIN RESILIENCE EVIDENCE FROM SEQUENTIAL MIXED METHODS RESEARCH.pdf,WHY DOES OMNI-CHANNEL ALLOW RETAILERS TO FOSTER SUPPLY CHAIN RESILIENCE? EVIDENCE FROM SEQUENTIAL MIXED METHODS RESEARCH,YES,On Google Drive Folder
109,109 - SELF-SELECTION AND PURCHASE VALUE OF RESEARCH SHOPPERS.pdf,SELF-SELECTION AND PURCHASE VALUE OF RESEARCH SHOPPERS,YES,On Google Drive Folder
110,"110 - DESIGNING MULTI-TIER, MULTI-SERVICE-LEVEL, AND MULTI-MODAL LAST-MILE DISTRIBUTION NETWORKS FOR OMNI-CHANNEL OPERATIONS.pdf","DESIGNING MULTI-TIER, MULTI-SERVICE-LEVEL, AND MULTI-MODAL LAST-MILE DISTRIBUTION NETWORKS FOR OMNI-CHANNEL OPERATIONS",YES,On Google Drive Folder
111,111 - AN INVESTIGATION ON CONSUMERS_ PREFERENCES FOR PARCEL DELIVERIES APPLYING CONSUMER LOGISTICS IN OMNI-CHANNEL SHOPPING.pdf,AN INVESTIGATION ON CONSUMERS' PREFERENCES FOR PARCEL DELIVERIES: APPLYING CONSUMER LOGISTICS IN OMNI-CHANNEL SHOPPING,YES,On Google Drive Folder
112,112 - CHANNEL COMPETITION IN OMNI-CHANNEL SUPPLY CHAIN CONSIDERING SOCIAL MEDIA ADVERTISING.pdf,CHANNEL COMPETITION IN OMNI-CHANNEL SUPPLY CHAIN CONSIDERING SOCIAL MEDIA ADVERTISING,YES,On Google Drive Folder
113,113 - MICRO-LEVEL PRACTICES OF BRICOLAGE DURING BUSINESS MODEL INNOVATION PROCESS THE CASE OF DIGITAL TRANSFORMATION.pdf,MICRO-LEVEL PRACTICES OF BRICOLAGE DURING BUSINESS MODEL INNOVATION PROCESS: THE CASE OF DIGITAL TRANSFORMATION TOWARDS OMNI-CHANNEL RETAILING,YES,On Google Drive Folder
114,114 - OPTIMAL PRICING DECISIONS FOR AN OMNI-CHANNEL SUPPLY CHAIN WITH RETAIL SERVICE.pdf,OPTIMAL PRICING DECISIONS FOR AN OMNI-CHANNEL SUPPLY CHAIN WITH RETAIL SERVICE,YES,On Google Drive Folder
115,115 - HOW WEBSITE BROWSING IMPACTS EXPECTATIONS OF STORE FEATURES.pdf,HOW WEBSITE BROWSING IMPACTS EXPECTATIONS OF STORE FEATURES,YES,On Google Drive Folder
116,116 - ANTECEDENTS AND CONSEQUENCES OF CROSS-EFFECTS AN EMPIRICAL ANALYSIS OF OMNI-COUPONS.pdf,ANTECEDENTS AND CONSEQUENCES OF CROSS-EFFECTS: AN EMPIRICAL ANALYSIS OF OMNI-COUPONS,YES,On Google Drive Folder
117,117 - CONSUMER LOGISTICS IN CONTEMPORARY SHOPPING A SYNTHESISED REVIEW.pdf,CONSUMER LOGISTICS IN CONTEMPORARY SHOPPING: A SYNTHESISED REVIEW,YES,On Google Drive Folder
118,118 - SHOPPING IN THE OMNICHANNEL SUPPLY CHAIN UNDER PRICE COMPETITION AND PRODUCT RETURN.pdf,SHOPPING IN THE OMNICHANNEL SUPPLY CHAIN UNDER PRICE COMPETITION AND PRODUCT RETURN,YES,On Google Drive Folder
119,119 - HOW TO MEASURE OMNICHANNEL MARKETING INDICATOR-BASED APPROACH.pdf,HOW TO MEASURE OMNICHANNEL? MARKETING INDICATOR-BASED APPROACH - THEORY FUNDAMENTALS,YES,On Google Drive Folder
120,120 - SHARED CAPACITY ROUTING PROBLEM - AN OMNI-CHANNEL RETAIL STUDY.pdf,SHARED CAPACITY ROUTING PROBLEM - AN OMNI-CHANNEL RETAIL STUDY,YES,On Google Drive Folder
121,121 - ADOPTION BARRIERS IN ENGAGING YOUNG CONSUMERS IN THE OMNI-CHANNEL RETAILING.pdf,ADOPTION BARRIERS IN ENGAGING YOUNG CONSUMERS IN THE OMNI-CHANNEL RETAILING,YES,On Google Drive Folder
122,122 - OMNICHANNEL PROMOTIONS AND THEIR EFFECT ON CUSTOMER SATISFACTION.pdf,OMNICHANNEL PROMOTIONS AND THEIR EFFECT ON CUSTOMER SATISFACTION,YES,On Google Drive Folder
123,123 - EXAMINING THE ANATOMY OF LAST-MILE DISTRIBUTION IN E-COMMERCE OMNICHANNEL RETAILING.pdf,EXAMINING THE ANATOMY OF LAST-MILE DISTRIBUTION IN E-COMMERCE OMNICHANNEL RETAILING: A SUPPLY NETWORK CONFIGURATION APPROACH,YES,On Google Drive Folder
124,124 - NOT ALL ADAPTIVE SELLING TO OMNI-CONSUMERS IS INFLUENTIAL THE MODERATING EFFECT OF PRODUCT TYPE.pdf,NOT ALL ADAPTIVE SELLING TO OMNI-CONSUMERS IS INFLUENTIAL: THE MODERATING EFFECT OF PRODUCT TYPE,YES,On Google Drive Folder
125,125 - CROSS-CHANNEL INTEGRATION AND CUSTOMER EXPERIENCE IN OMNI CHANNEL RETAIL SERVICES.pdf,CROSS-CHANNEL INTEGRATION AND CUSTOMER EXPERIENCE IN OMNI CHANNEL RETAIL SERVICES,YES,On Google Drive Folder
126,126 - CONFIGURING RETAIL FULFILLMENT PROCESSES FOR OMNI-CHANNEL CUSTOMER STEERING.pdf,CONFIGURING RETAIL FULFILLMENT PROCESSES FOR OMNI-CHANNEL CUSTOMER STEERING,YES,On Google Drive Folder
127,127 - SUPPLY CHAIN INTEGRATION IN OMNI-CHANNEL RETAILING.pdf,SUPPLY CHAIN INTEGRATION IN OMNI-CHANNEL RETAILING: A LOGISTICS PERSPECTIVE,YES,On Google Drive Folder
128,128 - COMPETITIVE SUSTAINABLE PROCESSES AND PRICING DECISIONS IN OMNICHANNEL CLOSED-UP SUPPLY CHAINS UNDER DIFFERENT CHANNEL POWER STRUCTURES.pdf,COMPETITIVE SUSTAINABLE PROCESSES AND PRICING DECISIONS IN OMNICHANNEL CLOSED-UP SUPPLY CHAINS UNDER DIFFERENT CHANNEL POWER STRUCTURES,YES,On Google Drive Folder
129,129 - FLATLINED COMBATTING THE DEATH OF RETAIL CHECK FOR UPDATES STORES.pdf,FLATLINED: COMBATTING THE DEATH OF RETAIL CHECK FOR UPDATES STORES,YES,On Google Drive Folder
130,130 - AN INVESTIGATION OF WHAT FACTORS DETERMINE THE WAY IN WHICH CUSTOMER SATISFACTION.pdf,AN INVESTIGATION OF WHAT FACTORS DETERMINE THE WAY IN WHICH CUSTOMER SATISFACTION IS INCREASED THROUGH OMNI-CHANNEL MARKETING IN RETAIL,YES,On Google Drive Folder
131,131 - CONSUMER DECISION-MAKING IN OMNICHANNEL RETAILING.pdf,CONSUMER DECISION-MAKING IN OMNICHANNEL RETAILING: LITERATURE REVIEW AND FUTURE RESEARCH AGENDA,YES,On Google Drive Folder
132,132 - ORDER FULFILLMENT POLICIES FOR SHIP-FROM-STORE IMPLEMENTATION IN OMNI-CHANNEL RETAILING.pdf,ORDER FULFILLMENT POLICIES FOR SHIP-FROM-STORE IMPLEMENTATION IN OMNI-CHANNEL RETAILING,YES,Requested again
133,133 - EXAMINING RETAIL BUSINESS MODEL TRANSFORMATION.pdf,EXAMINING RETAIL BUSINESS MODEL TRANSFORMATION: A LONGITUDINAL STUDY OF THE TRANSITION TO OMNICHANNEL ORDER FULFILLMENT,YES,On Google Drive Folder
134,134 - SUPPLY CHAIN INTEGRATION IN OMNI-CHANNEL RETAILING.pdf,SUPPLY CHAIN INTEGRATION IN OMNI-CHANNEL RETAILING: A HUMAN RESOURCE MANAGEMENT PERSPECTIVE,YES,On Google Drive Folder
135,135 - BI-OBJECTIVE OPTIMIZATION FOR SUSTAINABLE SUPPLY CHAIN NETWORK DESIGN IN OMNICHANNEL.pdf,BI-OBJECTIVE OPTIMIZATION FOR SUSTAINABLE SUPPLY CHAIN NETWORK DESIGN IN OMNICHANNEL,YES,On Google Drive Folder
136,136 - WHY RETAIL FIRMS COMMONLY GET ONLY HALFWAY THROUGH CHANNEL INTEGRATION WITH ONLINE CHANNELS.pdf,WHY RETAIL FIRMS COMMONLY GET ONLY HALFWAY THROUGH CHANNEL INTEGRATION WITH ONLINE CHANNELS,YES,On Google Drive Folder
137,137 - MODELLING THE INFLUENCE OF RETURNS FOR AN OMNI-CHANNEL RETAILER.pdf,MODELLING THE INFLUENCE OF RETURNS FOR AN OMNI-CHANNEL RETAILER,YES,On Google Drive Folder
138,138 - BUSINESS LOGISTICS MODELS IN OMNI-CHANNEL.pdf,BUSINESS LOGISTICS MODELS IN OMNI-CHANNEL: A CLASSIFICATION FRAMEWORK AND EMPIRICAL ANALYSIS,YES,On Google Drive Folder
139,139 - OMNI-CHANNEL RETAILING ON PLATFORMS.pdf,OMNI-CHANNEL RETAILING ON PLATFORMS: DISENTANGLING THE EFFECTS OF CHANNEL INTEGRATION AND INTER-PLATFORM FUNCTION USAGE DIFFERENCE,YES,On Google Drive Folder
140,140 - FROM E RETAIL TO OMNI CHANNEL RETAIL A STRATEGIC INITIATIVE OF A FASHION ETAILER.pdf,"FROM ""E"" RETAIL TO ""OMNI"" CHANNEL RETAIL: A STRATEGIC INITIATIVE OF A FASHION ETAILER",YES,On Google Drive Folder
141,141 - THE PARADOX OF DIMINISHING RETURNS MEASUREMENT AND METRICS FOR VALUATION OF B2C SALES PROFESSIONALS.pdf,THE PARADOX OF DIMINISHING RETURNS: MEASUREMENT AND METRICS FOR VALUATION OF B2C SALES PROFESSIONALS,YES,On Google Drive Folder
142,142 - AN ANALYTICAL ASSESSMENT OF DEMAND EFFECTS IN OMNI-CHANNEL ASSORTMENT PLANNING.pdf,AN ANALYTICAL ASSESSMENT OF DEMAND EFFECTS IN OMNI-CHANNEL ASSORTMENT PLANNING,YES,On Google Drive Folder
143,143 - OMNI-CHANNEL RETAILING IN SUPPLY CHAINS.pdf,OMNI-CHANNEL RETAILING IN SUPPLY CHAINS: A SYSTEMATIC LITERATURE REVIEW,YES,On Google Drive Folder
144,144 - FACTORS AFFECTING OMNICHANNEL BUYING ONLINE AND RETURN IN STORE EVIDENCE FROM FAST-FASHION RETAIL.pdf,FACTORS AFFECTING OMNICHANNEL BUYING ONLINE AND RETURN IN STORE: EVIDENCE FROM FAST-FASHION RETAIL,YES,On Google Drive Folder
145,145 - IMPORTANCE OF OFFLINE SERVICE QUALITY IN BUILDING LOYALTY OF OC SERVICE BRAND.pdf,IMPORTANCE OF OFFLINE SERVICE QUALITY IN BUILDING LOYALTY OF OC SERVICE BRAND,YES,On Google Drive Folder
146,146 - LAST MILE FULFILMENT AND DISTRIBUTION IN OMNI-CHANNEL GROCERY RETAILING.pdf,LAST MILE FULFILMENT AND DISTRIBUTION IN OMNI-CHANNEL GROCERY RETAILING A STRATEGIC PLANNING FRAMEWORK,YES,On Google Drive Folder
147,147 - E-FULFILMENT AND DISTRIBUTION IN OMNI-CHANNEL RETAILING.pdf,E-FULFILMENT AND DISTRIBUTION IN OMNI-CHANNEL RETAILING: A SYSTEMATIC LITERATURE REVIEW,YES,On Google Drive Folder
148,148 - IMPACT OF BUNDLING ON THE OMNICHANNEL SUPPLY CHAIN UNDER PRICE COMPETITION.pdf,IMPACT OF BUNDLING ON THE OMNICHANNEL SUPPLY CHAIN UNDER PRICE COMPETITION,YES,On Google Drive Folder
149,149 - EFFECT OF SERVICE FACTORS AND BUY-ONLINE-PICK-UP-IN-STORE STRATEGIES THROUGH AN OMNICHANNEL SYSTEM.pdf,EFFECT OF SERVICE FACTORS AND BUY-ONLINE-PICK-UP-IN-STORE STRATEGIES THROUGH AN OMNICHANNEL SYSTEM UNDER AN AGRICULTURAL SUPPLY CHAIN MANAGEMENT,YES,On Google Drive Folder
150,150 - BIOBJECTIVE OPTIMIZATION MODEL FOR STORE SELECTION.pdf,BIOBJECTIVE OPTIMIZATION MODEL FOR STORE SELECTION FOR BOPS SERVICE IN OMNI-CHANNEL RETAIL CHAIN,YES,On Google Drive Folder
151,151 - IN-STORE SHOPPING WITH LOCATION-BASED RETAIL APPS.pdf,"IN-STORE SHOPPING WITH LOCATION-BASED RETAIL APPS: PERCEIVED VALUE, CONSUMER RESPONSE, AND THE MODERATING EFFECT OF FLOW",YES,On Google Drive Folder
152,152 - From bricks-and-mortar to bricks-and-clicks Logistics networks in omni-channel grocery retailing.pdf,FROM BRICKS-AND-MORTAR TO BRICKS-AND-CLICKS: LOGISTICS NETWORKS IN OMNI-CHANNEL GROCERY RETAILING,YES,On Google Drive Folder
153,153 - RETAIL LOGISTICS IN THE TRANSITION FROM MULTI-CHANNEL TO OMNI-CHANNEL.pdf,RETAIL LOGISTICS IN THE TRANSITION FROM MULTI-CHANNEL TO OMNI-CHANNEL,YES,On Google Drive Folder
154,154 - ANALYSIS OF IMPLEMENTATION BARRIERS TO LOGISTICS SYSTEMS INTEGRATION FOR OMNI-CHANNEL RETAILING.pdf,ANALYSIS OF IMPLEMENTATION BARRIERS TO LOGISTICS SYSTEMS INTEGRATION FOR OMNI-CHANNEL RETAILING USING AN INTEGRATED ISM-FUZZY MICMAC APPROACH,YES,On Google Drive Folder
155,155 - PREVENTING RETURN FRAUD IN REVERSE LOGISTICS-A CASE STUDY OF ESPRES SOLUTION BY ETHEREUM.pdf,PREVENTING RETURN FRAUD IN REVERSE LOGISTICS-A CASE STUDY OF ESPRES SOLUTION BY ETHEREUM,YES,On Google Drive Folder
156,156 - RETAINING CUSTOMERS WITH IN-STORE MOBILE USAGE EXPERIENCE IN OMNI-CHANNEL RETAILING THE MODERATING EFFECTS OF PRODUCT INFORMATION.pdf,RETAINING CUSTOMERS WITH IN-STORE MOBILE USAGE EXPERIENCE IN OMNI-CHANNEL RETAILING: THE MODERATING EFFECTS OF PRODUCT INFORMATION OVERLOAD AND ALTERNATIVE ATTRACTIVENESS,YES,On Google Drive Folder
157,157 - EXAMINING THE VALUE OF FLEXIBLE LOGISTICS OFFERINGS.pdf,EXAMINING THE VALUE OF FLEXIBLE LOGISTICS OFFERINGS,YES,On Google Drive Folder
158,"158 - FOR SHOWING ONLY, OR FOR SELLING THE OPTIMAL PHYSICAL STORE MODE SELECTION DECISION FOR E-TAILERS UNDER COMPETITION.pdf",CONSUMER PSEUDO-SHOWROOMING AND OMNI-CHANNEL PLACEMENT STRATEGIES,YES,On Google Drive Folder
159,159 - MULTI-CHANNEL AND OMNI-CHANNEL RETAILING IN THE SCIENTIFIC LITERATURE A TEXT MINING APPROACH.pdf,"FOR SHOWING ONLY, OR FOR SELLING? THE OPTIMAL PHYSICAL STORE MODE SELECTION DECISION FOR E-TAILERS UNDER COMPETITION",YES,On Google Drive Folder
160,160 - IDENTIFYING CONSUMER_S LAST-MILE LOGISTICS BELIEFS IN OMNI-CHANNEL ENVIRONMENT.pdf,MULTI-CHANNEL AND OMNI-CHANNEL RETAILING IN THE SCIENTIFIC LITERATURE: A TEXT MINING APPROACH,YES,On Google Drive Folder
161,"161 - HIGHER EDUCATION_S ROLE IN CAPACITATING RETAIL BUSINESSES_ WELL-BEING, RESILIENCE AND EFFICIENCY POST-COVID-19.pdf",IDENTIFYING CONSUMER'S LAST-MILE LOGISTICS BELIEFS IN OMNI-CHANNEL ENVIRONMENT,YES,On Google Drive Folder
162,162 - SHIPPING CONSOLIDATION ACROSS TWO WAREHOUSES WITH DELIVERY DEADLINE AND EXPEDITED OPTIONS FOR E-COMMERCE AND OMNI-CHANNEL RETAILERS.pdf,"HIGHER EDUCATION'S ROLE IN CAPACITATING RETAIL BUSINESSES' WELL-BEING, RESILIENCE AND EFFICIENCY POST-COVID-19",YES,On Google Drive Folder
163,163 - SHOPPING APP FEATURES INFLUENCING THE DOWNLOAD AND USE INTENTION.pdf,SHIPPING CONSOLIDATION ACROSS TWO WAREHOUSES WITH DELIVERY DEADLINE AND EXPEDITED OPTIONS FOR E-COMMERCE AND OMNI-CHANNEL RETAILERS,YES,On Google Drive Folder
164,164 - A multicommodity pickup and delivery problem with time windows and handling time.pdf,SHOPPING APP FEATURES: INFLUENCING THE DOWNLOAD AND USE INTENTION,YES,On Google Drive Folder
165,,A MULTICOMMODITY PICKUP AND DELIVERY PROBLEM WITH TIME WINDOWS AND HANDLING TIME IN THE OMNI-CHANNEL LAST-MILE DELIVERY,NO,On Google Drive Folder
166,166 - THE IMPACT OF DIGITAL INNOVATIONS ON MARKETING AND CONSUMERS.pdf,THE IMPACT OF DIGITAL INNOVATIONS ON MARKETING AND CONSUMERS,YES,On Google Drive Folder
167,167 - MOBILE PAYMENT AND ONLINE TO OFFLINE RETAIL BUSINESS MODELS.pdf,MOBILE PAYMENT AND ONLINE TO OFFLINE RETAIL BUSINESS MODELS,YES,On Google Drive Folder
168,168 - VINTAGE FASHION RETAILING BUILDING THE STORE BRAND.pdf,MOBILE PAYMENT AND ONLINE TO OFFLINE RETAIL BUSINESS MODELS,YES,Duplicate of 167
169,,VINTAGE FASHION RETAILING: BUILDING THE STORE BRAND,NO,On Google Drive Folder
170,170 - BUY-ONLINE-AND-DELIVER-FROM-STORE STRATEGY FOR A DUAL-CHANNEL SUPPLY CHAIN CONSIDERING RETAILER_S LOCATION ADVANTAGE.pdf,BUY-ONLINE-AND-DELIVER-FROM-STORE STRATEGY FOR A DUAL-CHANNEL SUPPLY CHAIN CONSIDERING RETAILER'S LOCATION ADVANTAGE,YES,On Google Drive Folder
171,171 - PIONEERING STRATEGIES IN RETAIL SETTINGS AN EMPIRICAL STUDY OF SUCCESSFUL PRACTICES.pdf,BALANCE CUES OF ONLINE-OFFLINE CHANNEL INTEGRATION: CONSIDERING THE MODERATING ROLE OF CUSTOMER'S SHOWROOMING MOTIVATION,YES,Requested again
172,,PIONEERING STRATEGIES IN RETAIL SETTINGS: AN EMPIRICAL STUDY OF SUCCESSFUL PRACTICES,NO,On Google Drive Folder
173,173 - THE EFFECT OF CROSS-CHANNEL INTEGRATION ON COST EFFICIENCY.pdf,"PRIMAL-DUAL ALGORITHMS FOR ORDER FULFILLMENT AT URBAN OUTFITTERS, INC.",YES,On Google Drive Folder
174,,THE EFFECT OF CROSS-CHANNEL INTEGRATION ON COST EFFICIENCY,NO,On Google Drive Folder
175,175 - IS SHOWROOMING REALLY SO TERRIBLE START UNDERSTANDING SHOWROOMERS.pdf,IS SHOWROOMING REALLY SO TERRIBLE? START UNDERSTANDING SHOWROOMERS,YES,On Google Drive Folder
176,176 - ENEMIES TO FRENEMIES COOPETITION BETWEEN ONLINE AND OFFLINE RETAILERS AMIDST CRISES.pdf,ENEMIES TO FRENEMIES: COOPETITION BETWEEN ONLINE AND OFFLINE RETAILERS AMIDST CRISES,YES,On Google Drive Folder
177,177 - PRACTICE BRIEFING THE FUTURE OF THE UK TURNOVER-BASED LEASE IN THE WORLD OF OMNI-CHANNEL RETAIL.pdf,PRACTICE BRIEFING: THE FUTURE OF THE UK TURNOVER-BASED LEASE IN THE WORLD OF OMNI-CHANNEL RETAIL,YES,On Google Drive Folder
178,178 - EVALUATION OF ORDER FULFILLMENT OPTIONS IN RETAIL SUPPLY CHAINS.pdf,THE MULTI-CHANNEL IMPACT ON THE SALES FORCES MANAGEMENT,YES,On Google Drive Folder
179,179 - SUSTAINABLE REVERSE SUPPLY CHAINS FOR RETAIL PRODUCT RETURNS.pdf,EVALUATION OF ORDER FULFILLMENT OPTIONS IN RETAIL SUPPLY CHAINS,YES,On Google Drive Folder
180,180 - WHO ARE THE MULTICHANNEL SHOPPERS AND HOW CAN RETAILERS USE THEM EVIDENCE FROM THE FRENCH APPAREL INDUSTRY.pdf,SUSTAINABLE REVERSE SUPPLY CHAINS FOR RETAIL PRODUCT RETURNS,YES,On Google Drive Folder
181,181 - VIABILITY OF AMAZON_S DRIVEN INNOVATIONS TARGETING SHOPPERS_ IMPULSIVENESS.pdf,WHO ARE THE MULTICHANNEL SHOPPERS AND HOW CAN RETAILERS USE THEM? EVIDENCE FROM THE FRENCH APPAREL INDUSTRY,YES,On Google Drive Folder
182,,VIABILITY OF AMAZON'S DRIVEN INNOVATIONS TARGETING SHOPPERS' IMPULSIVENESS,NO,On Google Drive Folder
183,183 - EXPLORING AN IN-STORE CUSTOMER JOURNEY FOR CUSTOMERS SHOPPING FOR OUTDOOR APPAREL.pdf,EXPLORING AN IN-STORE CUSTOMER JOURNEY FOR CUSTOMERS SHOPPING FOR OUTDOOR APPAREL,YES,On Google Drive Folder
184,184 - THE END OF THE WORLD AS WE KNOW IT THE INFLUENCE OF ONLINE CHANNELS ON THE LUXURY CUSTOMER EXPERIENCE.pdf,THE END OF THE WORLD AS WE KNOW IT? THE INFLUENCE OF ONLINE CHANNELS ON THE LUXURY CUSTOMER EXPERIENCE,YES,On Google Drive Folder
185,,COMPARISON OF CONSUMERS' ACCEPTANCE OF ONLINE APPAREL MASS CUSTOMIZATION ACROSS WEB AND MOBILE CHANNELS,NO,On Google Drive Folder
186,186 - AGILE ORGANIZATIONAL CONCEPTS FOR RETAIL COMPANIES IN TIMES OF DIGITALIZATION DESIGN AND MANAGEMENT OF AGILE.pdf,AGILE ORGANIZATIONAL CONCEPTS FOR RETAIL COMPANIES IN TIMES OF DIGITALIZATION: DESIGN AND MANAGEMENT OF AGILE ORGANIZATIONAL STRUCTURES FOR MORE COMPETITIVENESS IN THE FACE OF CHANGING CUSTOMER NEEDS,YES,On Google Drive Folder
187,187 - DETERMINANTS OF RETAILERS_ CROSS-CHANNEL INTEGRATION AN INNOVATION DIFFUSION PERSPECTIVE ON OMNI-CHANNEL RETAILING.pdf,"RECIPROCITY WITHIN MAJOR RETAIL PURCHASE CHANNELS AND THEIR EFFECTS ON OVERALL, OFFLINE AND ONLINE LOYALTY",YES,On Google Drive Folder
188,188 - LOOK BEFORE YOU LEAP ECONOMICS OF BEING AN OMNICHANNEL RETAILER.pdf,DETERMINANTS OF RETAILERS' CROSS-CHANNEL INTEGRATION: AN INNOVATION DIFFUSION PERSPECTIVE ON OMNI-CHANNEL RETAILING,YES,On Google Drive Folder
189,,LOOK BEFORE YOU LEAP: ECONOMICS OF BEING AN OMNICHANNEL RETAILER,NO,On Google Drive Folder
190,"190 - WHAT DRIVES CUSTOMER ENGAGEMENT IN OMNICHANNEL RETAILING THE ROLE OF OMNICHANNEL INTEGRATION, PERCEIVED FLUENCY, AND PERCEIVED FLOW.pdf",DISCOURAGE OR ENCOURAGE? AN ONLINE MANUFACTURE'S RESPONSE TO COMPETING PRODUCT INTRODUCTION UNDER PHYSICAL SHOWROOM COOPERATION,YES,On Google Drive Folder
191,191 - EMPOWERING RETAILERS A BOUNDED RATIONALITY PERSPECTIVE TO ENHANCING OMNICHANNEL JOURNEY SATISFACTION.pdf,"WHAT DRIVES CUSTOMER ENGAGEMENT IN OMNICHANNEL RETAILING? THE ROLE OF OMNICHANNEL INTEGRATION, PERCEIVED FLUENCY, AND PERCEIVED FLOW",YES,On Google Drive Folder
192,192 - EFFECTIVENESS OF INTEGRATED OFFLINE-AND-ONLINE PROMOTIONS IN OMNICHANNEL TARGETING A RANDOMIZED FIELD EXPERIMENT.pdf,EMPOWERING RETAILERS: A BOUNDED RATIONALITY PERSPECTIVE TO ENHANCING OMNICHANNEL JOURNEY SATISFACTION,YES,On Google Drive Folder
193,193 - PLANNING AND IMPLEMENTING AN EFFECTIVE OMNICHANNEL MARKETING PROGRAM.pdf,EFFECTIVENESS OF INTEGRATED OFFLINE-AND-ONLINE PROMOTIONS IN OMNICHANNEL TARGETING: A RANDOMIZED FIELD EXPERIMENT,YES,On Google Drive Folder
194,194 - IS THE SHOPPER ALWAYS THE KING QUEEN STUDY OF OMNICHANNEL RETAIL TECHNOLOGY USE AND SHOPPING ORIENTATIONS.pdf,PLANNING AND IMPLEMENTING AN EFFECTIVE OMNICHANNEL MARKETING PROGRAM,YES,On Google Drive Folder
195,,IS THE SHOPPER ALWAYS THE KING/QUEEN? STUDY OF OMNICHANNEL RETAIL TECHNOLOGY USE AND SHOPPING ORIENTATIONS,NO,On Google Drive Folder
196,,BUY ONLINE AND PICK UP IN-STORE: DESIGN OF THE SERVICE AREA,NO,Requested again
197,197 - REDUCING COMPETITIVE RESEARCH SHOPPING WITH CROSS-CHANNEL DELIVERY.pdf,INFLUENCES OF OMNICHANNEL INTEGRATION AND VALUE CONGRUENCE ON CUSTOMER PATRONAGE: THE FLOW THEORY PERSPECTIVE,YES,On Google Drive Folder
198,,REDUCING COMPETITIVE RESEARCH SHOPPING WITH CROSS-CHANNEL DELIVERY,NO,On Google Drive Folder
199,199 - LEARNING TO BE CONSUMERS OF SMART RETAIL CHANNELS THE BABY BOOMER EXPERIENCE.pdf,"LEARNING TO BE CONSUMERS OF ""SMART"" RETAIL CHANNELS: THE BABY BOOMER EXPERIENCE",YES,On Google Drive Folder
200,200 - THE EFFECTS OF UTILITARIAN VALUE ON OMNICHANNEL CONTINUANCE INTENTION THE MODERATING ROLE OF PRODUCT INVOLVEMENT.pdf,TRACING THE EVOLUTION & PROJECTING THE FUTURE OF IN-STORE MARKETING,YES,Cancelled by ILL Staff
201,201 - INFORMATION EFFECTS OF WAREHOUSE AUTOMATION ON SALES IN OMNICHANNEL RETAILING.pdf,THE EFFECTS OF UTILITARIAN VALUE ON OMNICHANNEL CONTINUANCE INTENTION: THE MODERATING ROLE OF PRODUCT INVOLVEMENT,YES,On Google Drive Folder
202,202 - DYNAMIC CAPABILITIES IN THE REALISATION OF OMNICHANNEL RETAILING.pdf,INFORMATION EFFECTS OF WAREHOUSE AUTOMATION ON SALES IN OMNICHANNEL RETAILING,YES,On Google Drive Folder
203,203 - THE TRANSFORMATIVE AND EVOLUTIONARY APPROACH OF OMNICHANNEL IN RETAIL COMPANIES INSIGHTS FROM MULTI-CASE STUDIES IN PORTUGAL.pdf,DYNAMIC CAPABILITIES IN THE REALISATION OF OMNICHANNEL RETAILING,YES,On Google Drive Folder
204,204 - WHAT KIND OF IN-STORE SMART RETAILING FOR AN OMNICHANNEL REAL-LIFE EXPERIENCE.pdf,THE TRANSFORMATIVE AND EVOLUTIONARY APPROACH OF OMNICHANNEL IN RETAIL COMPANIES: INSIGHTS FROM MULTI-CASE STUDIES IN PORTUGAL,YES,On Google Drive Folder
205,205 - AN OMNICHANNEL APPROACH TO RETAILING DEMYSTIFYING AND IDENTIFYING THE FACTORS INFLUENCING AN OMNICHANNEL EXPERIENCE.pdf,WHAT KIND OF IN-STORE SMART RETAILING FOR AN OMNICHANNEL REAL-LIFE EXPERIENCE?,YES,On Google Drive Folder
206,206 - INFLUENCE OF PERCEIVED VALUE ON OMNICHANNEL USAGE MEDIATING AND MODERATING ROLES OF THE OMNICHANNEL SHOPPING HABIT.pdf,AN OMNICHANNEL APPROACH TO RETAILING: DEMYSTIFYING AND IDENTIFYING THE FACTORS INFLUENCING AN OMNICHANNEL EXPERIENCE,YES,On Google Drive Folder
207,,INFLUENCE OF PERCEIVED VALUE ON OMNICHANNEL USAGE: MEDIATING AND MODERATING ROLES OF THE OMNICHANNEL SHOPPING HABIT,NO,On Google Drive Folder
208,208 - HOW CUSTOMER EXPERIENCE INCONGRUENCE AFFECTS OMNICHANNEL CUSTOMER RETENTION THE MODERATING ROLE OF CHANNEL CHARACTERISTICS.pdf,HOW CUSTOMER EXPERIENCE INCONGRUENCE AFFECTS OMNICHANNEL CUSTOMER RETENTION: THE MODERATING ROLE OF CHANNEL CHARACTERISTICS,YES,On Google Drive Folder
209,209 - OMNICHANNEL FULFILLMENT STRATEGIES DEFINING THE CONCEPT AND BUILDING AN AGENDA FOR FUTURE INQUIRY.pdf,THE IMPACT OF TRUST ON PURCHASE INTENTION THROUGH OMNICHANNEL RETAILING,YES,On Google Drive Folder
210,,OMNICHANNEL FULFILLMENT STRATEGIES: DEFINING THE CONCEPT AND BUILDING AN AGENDA FOR FUTURE INQUIRY,NO,On Google Drive Folder
